001 application/x-001
323 text/h323
907 drawing/907
acp audio/x-mei-aac
aif audio/aiff
aiff audio/aiff
asa text/asa
asp text/asp
au audio/basic
awf application/vnd.adobe.workflow
bmp application/x-bmp
c4t application/x-c4t
cal application/x-cals
cdf application/x-netcdf
cel application/x-cel
cg4 application/x-g4
cit application/x-cit
cml text/xml
cmx application/x-cmx
crl application/pkix-crl
csi application/x-csi
cut application/x-cut
dbm application/x-dbm
dcd text/xml
der application/x-x509-ca-cert
dib application/x-dib
doc application/msword
drw application/x-drw
dwf Model/vnd.dwf
dwg application/x-dwg
dxf application/x-dxf
emf application/x-emf
ent text/xml
eps application/x-ps
etd application/x-ebx
fax image/fax
fif application/fractals
frm application/x-frm
gbr application/x-
gif image/gif
gp4 application/x-gp4
hmr application/x-hmr
hpl application/x-hpl
hrf application/x-hrf
htc text/x-component
html text/html
htx text/html
ico image/x-icon
iff application/x-iff
igs application/x-igs
img application/x-img
isp application/x-internet-signup
java java/*
jpe image/jpeg
jpeg image/jpeg
jpg application/x-jpg
jsp text/html
lar application/x-laplayer-reg
lavs audio/x-liquid-secure
lmsff audio/x-la-lms
ltr application/x-ltr
m2v video/x-mpeg
m4e video/mpeg4
man application/x-troff-man
mdb application/msaccess
mfp application/x-shockwave-flash
mhtml message/rfc822
mid audio/mid
mil application/x-mil
mnd audio/x-musicnet-download
mocha application/x-javascript
mp1 audio/mp1
mp2v video/mpeg
mp4 video/mpeg4
mpd application/vnd.ms-project
mpeg video/mpg
mpga audio/rn-mpeg
mps video/x-mpeg
mpv video/mpg
mpw application/vnd.ms-project
mtx text/xml
net image/pnetvue
nws message/rfc822
out application/x-out
p12 application/x-pkcs12
p7c application/pkcs7-mime
p7r application/x-pkcs7-certreqresp
pc5 application/x-pc5
pcl application/x-pcl
pdf application/pdf
pdx application/vnd.adobe.pdx
pgl application/x-pgl
pko application/vnd.ms-pki.pko
plg text/html
plt application/x-plt
png application/x-png
ppa application/vnd.ms-powerpoint
pps application/vnd.ms-powerpoint
ppt application/x-ppt
prf application/pics-rules
prt application/x-prt
ps application/postscript
pwz application/vnd.ms-powerpoint
ra audio/vnd.rn-realaudio
ras application/x-ras
rdf text/xml
red application/x-red
rjs application/vnd.rn-realsystem-rjs
rlc application/x-rlc
rm application/vnd.rn-realmedia
rmi audio/mid
rmm audio/x-pn-realaudio
rms application/vnd.rn-realmedia-secure
rmx application/vnd.rn-realsystem-rmx
