2025-07-29 01:00:03,787 - INFO - 启动抖音 Signature 服务器...
2025-07-29 01:00:04,527 - INFO - 浏览器初始化完成
2025-07-29 01:00:04,527 - INFO - 开始加载抖音首页...
2025-07-29 01:00:08,576 - INFO - 抖音首页加载完成，signature 功能可用
2025-07-29 01:00:08,577 - INFO - 服务器启动成功，监听端口 5531
2025-07-29 01:00:08,577 - INFO - API 接口:
2025-07-29 01:00:08,577 - INFO -   GET  /signature?roomId=xxx&uniqueId=yyy  - 获取 signature
2025-07-29 01:00:08,577 - INFO -   GET  /status                           - 查询服务器状态
2025-07-29 01:00:08,577 - INFO -   POST /refresh                          - 手动刷新首页
2025-07-29 01:00:08,577 - INFO - 下次刷新时间: 2025-07-29 02:00:00, 等待 3591 秒
2025-07-29 01:00:25,185 - INFO - 127.0.0.1 [29/Jul/2025:01:00:25 +0800] "GET /get_signature?room_id=7532137958955485988&unique_id=3579644615343678 HTTP/1.1" 404 175 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
2025-07-29 01:00:25,396 - INFO - 127.0.0.1 [29/Jul/2025:01:00:25 +0800] "GET /favicon.ico HTTP/1.1" 404 175 "http://127.0.0.1:5531/get_signature?room_id=7532137958955485988&unique_id=3579644615343678" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
2025-07-29 01:00:35,798 - INFO - 127.0.0.1 [29/Jul/2025:01:00:35 +0800] "GET /signature?room_id=7532137958955485988&unique_id=3579644615343678 HTTP/1.1" 400 373 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
2025-07-29 01:01:28,420 - INFO - 获取 signature 成功: room_id=7532137958955485988, unique_id=3579644615343678
2025-07-29 01:01:28,420 - INFO - 127.0.0.1 [29/Jul/2025:01:01:28 +0800] "GET /signature?roomId=7532137958955485988&uniqueId=3579644615343678 HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
2025-07-29 01:01:49,006 - INFO - 获取 signature 成功: room_id=7532173646442449718, unique_id=3579644615343678
2025-07-29 01:01:49,007 - INFO - 127.0.0.1 [29/Jul/2025:01:01:48 +0800] "GET /signature?roomId=7532173646442449718&uniqueId=3579644615343678 HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:02:42,237 - INFO - 获取 signature 成功: room_id=7532173646442449718, unique_id=3579644615343678
2025-07-29 01:02:42,238 - INFO - 127.0.0.1 [29/Jul/2025:01:02:42 +0800] "GET /signature?roomId=7532173646442449718&uniqueId=3579644615343678 HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:03:12,584 - INFO - 获取 signature 成功: room_id=7532173646442449718, unique_id=3579644615343678
2025-07-29 01:03:12,585 - INFO - 127.0.0.1 [29/Jul/2025:01:03:12 +0800] "GET /signature?roomId=7532173646442449718&uniqueId=3579644615343678 HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:03:54,585 - INFO - 获取 signature 成功: room_id=7532173646442449718, unique_id=3579644615343678
2025-07-29 01:03:54,587 - INFO - 127.0.0.1 [29/Jul/2025:01:03:54 +0800] "GET /signature?roomId=7532173646442449718&uniqueId=3579644615343678 HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:04:28,861 - INFO - 127.0.0.1 [29/Jul/2025:01:04:28 +0800] "GET /signature?roomId=&uniqueId= HTTP/1.1" 400 373 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:04:42,211 - INFO - 127.0.0.1 [29/Jul/2025:01:04:42 +0800] "GET /signature?roomId=&uniqueId= HTTP/1.1" 400 373 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
2025-07-29 01:06:32,946 - INFO - 获取 signature 成功: room_id=7532173646442449718, unique_id=3579644615343678
